gene.ids,gene.symb
148398,SAMD11
339451,KLHL17
84808,PERM1
57801,HES4
375790,AGRN
54991,C1orf159
51150,SDF4
118424,UBE2J2
116983,ACAP3
126789,PUSL1
1855,DVL1
54998,AURKAIP1
55052,MRPL20
64856,VWA1
29101,SSU72
65220,NADK
2782,GNB1
2563,GABRD
5590,PRKCZ
199990,FAAP20
79906,MORN1
11079,RER1
5192,PEX10
63976,PRDM16
27237,ARHGEF16
1953,MEGF6
7161,TP73
388588,SMIM1
9731,CEP104
339448,C1orf174
8514,KCNAB2
261734,NPHP4
26038,CHD5
6146,RPL22
388591,RNF207
11332,ACOT7
57449,PLEKHG5
79707,NOL9
9903,KLHL21
148479,PHF13
90326,THAP3
23261,CAMTA1
9341,VAMP3
473,RERE
2023,ENO1
80045,GPR157
9563,H6PD
80176,SPSB1
199953,TMEM201
5293,PIK3CD
22883,CLSTN1
5226,PGD
1676,DFFA
54897,CASZ1
23435,TARDBP
6723,SRM
2475,MTOR
29914,UBIAD1
10459,MAD2L2
4524,MTHFR
5351,PLOD1
9927,MFN2
55187,VPS13D
9249,DHRS3
7799,PRDM2
23254,KAZN
55092,TMEM51
114827,FHAD1
79180,EFHD2
84301,DDI2
23207,PLEKHM2
54751,FBLIM1
23013,SPEN
729614,FLJ37453
7709,ZBTB17
1969,EPHA2
26099,SZRD1
55672,NBPF1
84809,CROCCP2
23400,ATP13A2
55160,ARHGEF10L
8659,ALDH4A1
126917,IFFO2
23352,UBR4
51154,MRTO4
832,CAPZB
255104,TMCO4
23252,OTUD3
55450,CAMK2N1
163933,FAM43B
65018,PINK1
57576,KIF17
400745,SH2D5
50809,HP1BP3
8672,EIF4G3
1889,ECE1
3339,HSPG2
998,CDC42
54361,WNT4
7798,LUZP1
10236,HNRNPR
148898,ZNF436-AS1
55616,ASAP3
6924,ELOA
163702,IFNLR1
90529,STPG1
11123,RCAN3
10250,SRRM1
25932,CLIC4
6006,RHCE
55219,MACO1
26119,LDLRAP1
57134,MAN1C1
56181,MTFR1L
149420,PDIK1L
51042,ZNF593
64793,CEP85
83442,SH3BGRL3
3151,HMGN2
6195,RPS6KA1
8289,ARID1A
55650,PIGV
84243,ZDHHC18
6548,SLC9A1
2827,GPR3
27245,AHDC1
199870,FAM76A
23673,STX12
6118,RPA2
83667,SESN2
65979,PHACTR4
1104,RCC1
54952,TRNAU1AP
85028,SNHG12
10691,GMEB1
51441,YTHDF2
4985,OPRD1
2035,EPB41
6429,SRSF4
10076,PTPRU
100129196,MATN1-AS1
9698,PUM1
79570,NKAIN1
51538,ZCCHC17
347735,SERINC2
553115,PEF1
576,ADGRB2
8073,PTP4A2
200081,TXLNA
55721,IQCC
8668,EIF3I
339483,MTMR9LP
3065,HDAC1
65108,MARCKSL1
55108,BSDC1
653121,ZBTB8A
5928,RBBP4
57648,KIAA1522
64766,S100PBP
8565,YARS1
3208,HPCA
113452,TMEM54
55223,TRIM62
149076,ZNF362
1912,PHC2
113444,SMIM12
100506144,TMEM35B
6421,SFPQ
9202,ZMYM4
63967,CLSPN
192670,AGO4
192669,AGO3
27095,TRAPPC3
55700,MAP7D1
9967,THRAP3
79729,SH3D21
55194,EVA1B
84967,LSM10
127700,OSCP1
2899,GRIK3
80149,ZC3H12A
64769,MEAF6
79753,SNIP1
54955,C1orf109
127687,C1orf122
79693,YRDC
2275,FHL3
5453,POU3F1
26292,MYCBP
79647,AKIRIN1
23499,MACF1
643314,KIAA0754
353500,BMP8A
728448,PPIEL
656,BMP8B
4610,MYCL
6018,RLF
339559,ZFP69
9783,RIMS3
4802,NFYC
9132,KCNQ4
163732,CITED4
1503,CTPS1
22955,SCMH1
59269,HIVEP3
22887,FOXJ3
284716,RIMKLA
4904,YBX1
79078,C1orf50
374969,SVBP
51058,ZNF691
440584,SLC2A1-AS1
64834,ELOVL1
81888,HYI
6487,ST3GAL3
9670,IPO13
533,ATP6V0B
8704,B4GALT2
6536,SLC6A9
55929,DMAP1
79033,ERI3
55182,RNF220
26811,SNORD55
8643,PTCH2
79654,HECTD3
57643,ZSWIM5
400752,LINC01144
541468,LURAP1
7388,UQCRH
387338,NSUN4
260293,CYP4X1
51727,CMPK1
2306,FOXD2
388630,TRABD2B
1031,CDKN2C
26994,RNF11
22996,TTC39A
2060,EPS15
114883,OSBPL9
51060,TXNDC12
91408,BTF3L4
9372,ZFYVE9
200014,CC2D1B
23318,TUT4
65260,COA7
79699,ZYG11B
440590,ZYG11A
55268,ECHDC2
1376,CPT2
7804,LRP8
55706,NDC1
51668,HSPB11
51253,MRPL37
23648,SSBP3
26027,ACOT11
23358,USP24
100507634,LOC100507634
8613,PLPP3
5563,PRKAA2
1600,DAB1
114803,MYSM1
3725,JUN
100131060,LINC01135
729467,HSD52
51361,HOOK1
4774,NFIA
10207,PATJ
163782,KANK4
199899,LINC00466
27022,FOXD3
5236,PGM1
4919,ROR1
57685,CACHD1
55225,RAVER2
3716,JAK1
205,AK4
9829,DNAJC6
54741,LEPROT
5142,PDE4B
79819,WDR78
57708,MIER1
23169,SLC35D1
26135,SERBP1
1647,GADD45A
100289178,GNG12-AS1
55970,GNG12
81573,ANKRD13C
5733,PTGER3
431707,LHX8
204962,SLC44A5
256435,ST6GALNAC3
81849,ST6GALNAC5
10026,PIGK
26289,AK5
26009,ZZZ3
23032,USP33
374986,MIGA1
91624,NEXN
79739,TTLL7
5567,PRKACB
148418,SAMD13
2787,GNG5
117178,SSX2IP
23566,LPAR3
255231,MCOLN2
55283,MCOLN3
84144,SYDE2
23576,DDAH1
3491,CCN1
255631,COL24A1
51100,SH3GLB1
339524,LINC01140
8543,LMO4
23507,LRRC8B
400761,LRRC8C-DT
55144,LRRC8D
284695,ZNF326
343472,BARHL2
84146,ZNF644
164045,HFM1
7049,TGFBR3
253152,EPHX4
11146,GLMN
2672,GFI1
6125,RPL5
388650,DIPK1A
54874,FNBP1L
8412,BCAR3
100126348,MIR760
9411,ARHGAP29
5825,ABCD3
1266,CNN3
100527978,TLCD4-RWDD3
25950,RWDD3
58155,PTBP2
51375,SNX7
100129620,LOC100129620
9890,PLPPR4
178,AGL
64645,MFSD14A
163786,SASS6
8556,CDC14A
22854,NTNG1
100873946,VAV3-AS1
10451,VAV3
29957,SLC25A24
55119,PRPF38B
6814,STXBP3
29899,GPSM2
23155,CLCC1
56900,TMEM167B
677766,SCARNA2
1952,CELSR2
5686,PSMA5
284612,SYPL2
127002,ATXN7L2
57463,AMIGO1
271,AMPD2
2946,GSTM2
1435,CSF1
10768,AHCYL1
85369,STRIP1
388662,SLC6A17
3749,KCNC4
440600,RBM15-AS1
101410535,LAMTOR5-AS1
3737,KCNA2
3738,KCNA3
5906,RAP1A
100506343,INKA2-AS1
3752,KCND3
7482,WNT2B
54879,ST7L
4343,MOV10
333926,PPM1J
6566,SLC16A1
260425,MAGI3
10745,PHTF1
54665,RSBN1
64858,DCLRE1B
148281,SYT6
51592,TRIM33
163259,DENND2C
81839,VANGL1
55356,SLC22A15
476,ATP1A1
3321,IGSF3
8458,TTF2
10905,MAN1A2
54855,TENT5C
90874,ZNF697
26227,PHGDH
9659,PDE4DIP
653513,LOC653513
10401,PIAS3
5565,PRKAB2
9557,CHD1L
56957,OTUD7B
51177,PLEKHO1
81611,ANP32E
23248,RPRD2
54507,ADAMTSL4
4170,MCL1
29956,CERS2
54964,C1orf56
57592,ZNF687
5298,PI4KB
5993,RFX5
11189,CELF3
11022,TDRKH
117145,THEM4
6281,S100A10
6284,S100A13
11000,SLC27A3
9909,DENND4B
200186,CRTC2
27173,SLC39A1
10899,JTB
9898,UBAP2L
57198,ATP8B2
1141,CHRNB2
103,ADAR
90780,PYGO2
51043,ZBTB7B
100505666,DCST1-AS1
55974,SLC50A1
54344,DPM3
80128,TRIM46
4582,MUC1
693235,MIR92B
4580,MTX1
10712,FAM189B
23623,RUSC1
55870,ASH1L
22889,KHDC4
9181,ARHGEF2
56893,UBQLN4
4000,LMNA
4209,MEF2D
128240,NAXE
1382,CRABP2
3068,HDGF
5546,PRCC
3645,INSRR
4914,NTRK1
9826,ARHGEF11
2117,ETV3
8407,TAGLN2
3766,KCNJ10
50717,DCAF8
1314,COPA
50848,F11R
7391,USF1
9191,DEDD
27005,USP21
5498,PPOX
6391,SDHC
127943,FCRLB
9722,NOS1AP
6675,UAP1
4259,MGST3
223,ALDH9A1
54499,TMCO1
149297,FAM78B
57645,POGK
117143,TADA1
84944,MAEL
5451,POU2F1
8804,CREG1
9019,MPZL1
25874,MPC2
23432,GPR161
261726,TIPRL
375035,SFT2D2
481,ATP1B1
10560,SLC19A2
57147,SCYL3
5396,PRRX1
23215,PRRC2C
8674,VAMP4
26052,DNM3
51430,SUCO
9588,PRDX6
84614,ZBTB37
9910,RABGAP1L
460,ASTN1
100302401,RASAL2-AS1
55103,RALGPS2
9917,FAM20B
64222,TOR3A
27,ABL2
148753,FAM163A
9857,CEP350
89884,LHX4
84320,ACBD6
9213,XPR1
51278,IER5
2752,GLUL
6004,RGS16
284648,LINC01686
1660,DHX9
3915,LAMC1
23127,COLGALT2
116496,NIBAN1
6045,RNF2
83872,HMCN1
51377,UCHL5
79577,CDC73
259266,ASPM
23418,CRB1
163486,DENND1B
