gene.ids,gene.symb
79854,LINC00115
116983,ACAP3
54587,MXRA8
83858,ATAD3B
142678,MIB2
65220,NADK
57470,LRRC47
11315,PARK7
64802,NMNAT1
10277,UBE4B
23095,KIF1B
5226,PGD
5195,PEX14
1185,CLCN6
23341,DNAJC16
54455,FBXO42
9923,ZBTB40
10236,HNRNPR
55616,ASAP3
25932,CLIC4
100500808,MIR3917
3151,HMGN2
115572,TENT5B
84065,TMEM222
6883,TAF12
51441,YTHDF2
6429,SRSF4
100129196,MATN1-AS1
8073,PTP4A2
10657,KHDRBS1
3065,HDAC1
55108,BSDC1
5928,RBBP4
113444,SMIM12
23154,NCDN
192669,AGO3
27095,TRAPPC3
55194,EVA1B
29889,GNL2
64121,RRAGC
79647,AKIRIN1
10487,CAP1
10269,ZMPSTE24
4802,NFYC
22887,FOXJ3
64834,ELOVL1
9670,IPO13
1802,DPH2
79639,TMEM53
1263,PLK3
343521,TCTEX1D4
149478,BTBD19
8891,EIF2B3
7389,UROD
400752,LINC01144
5052,PRDX1
10327,AKR1A1
8503,PIK3R3
6886,TAL1
114883,OSBPL9
4898,NRDC
200014,CC2D1B
65260,COA7
1376,CPT2
4774,NFIA
57708,MIER1
34,ACADM
2787,GNG5
117178,SSX2IP
100131564,CCDC18-AS1
8556,CDC14A
29899,GPSM2
440600,RBM15-AS1
9860,LRIG2
54665,RSBN1
7812,CSDE1
965,CD58
100132406,NBPF10
56957,OTUD7B
81611,ANP32E
10962,MLLT11
57592,ZNF687
117145,THEM4
7170,TPM3
25912,C1orf43
55585,UBE2Q1
6464,SHC1
4580,MTX1
2630,GBAP1
4000,LMNA
50848,F11R
55827,DCAF6
8674,VAMP4
9588,PRDX6
84614,ZBTB37
64222,TOR3A
6646,SOAT1
84320,ACBD6
54953,ODR4
23528,ZNF281
9928,KIF14
252839,TMEM9
10440,TIMM17A
59349,KLHL12
8444,DYRK3
5208,PFKFB2
1604,CD55
55758,RCOR3
25782,RAB3GAP2
23219,FBXO28
6726,SRP9
163859,SDE2
5664,PSEN2
56997,COQ8A
128308,MRPL55
200205,IBA57
2590,GALNT2
359948,IRF2BP2
116228,COX20
3192,HNRNPU
84288,EFCAB2
79862,ZNF669
84991,RBM17
9317,PTER
1787,TRDMT1
7431,VIM
387640,SKIDA1
79896,THNSL1
220929,ZNF438
80314,EPC1
3688,ITGB1
1390,CREM
7582,ZNF33B
3185,HNRNPF
642819,ZNF487
8031,NCOA4
7019,TFAM
23411,SIRT1
3189,HNRNPH3
8034,SLC25A16
9559,VPS26A
3098,HK1
5660,PSAP
119504,ANAPC16
10367,MICU1
11319,ECD
5532,PPP3CB
7417,VDAC2
219654,ZCCHC24
311,ANXA11
54462,CCSER2
23401,FRAT2
81621,KAZALD1
118980,SFXN2
92482,BBIP1
8661,EIF3A
340784,HMX3
23410,SIRT3
7748,ZNF195
6609,SMPD1
84280,BTBD10
7189,TRAF6
1408,CRY2
392,ARHGAP1
280636,SELENOH
3992,FADS1
5866,RAB3IL1
6520,SLC3A2
10963,STIP1
26472,PPP1R14B
2101,ESRRA
8986,RPS6KA4
10938,EHD1
378938,MALAT1
4054,LTBP3
80198,MUS81
10072,DPP3
254359,ZDHHC24
100526737,RBM14-RBM4
78999,LRFN4
5091,PC
10312,TCIRG1
9633,TESMIN
55004,LAMTOR1
28971,AAMDC
55863,TMEM126B
8301,PICALM
23086,EXPH5
4297,KMT2A
10525,HYOU1
3145,HMBS
9854,C2CD2L
23365,ARHGEF12
79607,FAM118B
4055,LTBR
283314,C1RL-AS1
144363,ETFRF1
