"score","og_df_row","winnerNo"
83,1,1
56,3,2
74,4,3
58,4,4
61,4,5
68,7,6
107,8,7
57,8,8
61,9,9
79,10,10
56,11,11
54,13,12
52,13,13
61,13,14
60,16,15
95,17,16
109,17,17
82,18,18
54,19,19
85,20,20
61,20,21
54,25,22
67,25,23
91,26,24
58,27,25
66,36,26
68,38,27
63,38,28
85,39,29
53,46,30
83,46,31
111,52,32
88,57,33
52,57,34
67,60,35
67,61,36
82,63,37
56,63,38
55,63,39
55,64,40
59,68,41
87,69,42
87,70,43
59,71,44
75,72,45
74,72,46
88,72,47
61,72,48
52,72,49
72,72,50
76,75,51
58,75,52
55,77,53
63,78,54
54,79,55
64,79,56
94,80,57
52,84,58
52,84,59
57,86,60
54,91,61
91,92,62
54,94,63
53,94,64
58,100,65
93,103,66
66,103,67
110,104,68
72,107,69
68,108,70
91,108,71
77,110,72
78,112,73
63,114,74
64,114,75
52,116,76
70,117,77
58,118,78
76,118,79
64,119,80
53,119,81
67,119,82
67,120,83
67,121,84
70,122,85
70,123,86
92,124,87
92,125,88
76,127,89
54,128,90
68,133,91
61,133,92
62,134,93
52,137,94
111,142,95
119,147,96
66,147,97
53,147,98
83,148,99
52,149,100
74,149,101
110,150,102
69,152,103
80,155,104
95,156,105
54,159,106
74,159,107
63,161,108
88,161,109
79,162,110
80,164,111
56,166,112
92,168,113
67,174,114
60,179,115
59,181,116
54,184,117
92,187,118
55,190,119
87,193,120
69,194,121
69,195,122
52,201,123
74,203,124
57,203,125
89,206,126
66,206,127
80,206,128
64,209,129
81,210,130
91,211,131
71,211,132
61,211,133
77,211,134
62,212,135
84,212,136
94,216,137
66,217,138
125,226,139
62,227,140
53,235,141
63,237,142
103,240,143
107,240,144
79,240,145
103,241,146
91,241,147
59,241,148
109,241,149
99,241,150
109,242,151
99,242,152
74,242,153
74,243,154
55,245,155
86,246,156
54,249,157
67,253,158
73,253,159
73,254,160
88,256,161
55,257,162
67,257,163
70,258,164
70,258,165
54,260,166
54,261,167
60,264,168
55,264,169
79,274,170
52,275,171
88,276,172
88,277,173
95,277,174
67,277,175
64,280,176
78,287,177
52,287,178
83,290,179
54,291,180
94,293,181
90,293,182
94,294,183
90,294,184
56,295,185
72,295,186
74,296,187
94,298,188
85,299,189
73,299,190
66,299,191
64,299,192
120,302,193
106,303,194
87,308,195
88,309,196
93,310,197
84,311,198
55,313,199
69,316,200
61,316,201
68,317,202
65,320,203
55,321,204
59,321,205
90,321,206
112,321,207
67,326,208
73,328,209
82,329,210
65,330,211
68,330,212
99,331,213
74,331,214
66,333,215
76,335,216
52,336,217
80,337,218
59,340,219
92,343,220
82,345,221
73,346,222
89,347,223
55,349,224
55,350,225
58,350,226
52,350,227
107,350,228
52,350,229
79,351,230
79,352,231
69,355,232
67,355,233
53,356,234
91,360,235
91,360,236
91,361,237
91,361,238
66,362,239
78,362,240
104,363,241
105,363,242
86,367,243
90,367,244
65,369,245
54,370,246
83,371,247
65,371,248
69,375,249
69,376,250
97,379,251
76,379,252
91,381,253
71,383,254
54,383,255
67,384,256
112,385,257
75,385,258
111,386,259
53,391,260
78,391,261
71,393,262
104,393,263
71,393,264
55,398,265
83,404,266
84,406,267
81,406,268
63,407,269
56,407,270
52,414,271
89,418,272
52,419,273
61,420,274
88,421,275
69,423,276
59,424,277
67,425,278
69,426,279
63,426,280
55,427,281
86,429,282
79,429,283
94,430,284
58,435,285
53,435,286
75,435,287
68,436,288
61,437,289
63,438,290
64,438,291
54,440,292
81,440,293
99,440,294
70,440,295
92,440,296
63,441,297
60,441,298
86,444,299
55,444,300
66,445,301
64,445,302
124,445,303
92,445,304
76,445,305
129,448,306
52,448,307
85,455,308
61,455,309
52,457,310
85,458,311
55,458,312
86,458,313
93,458,314
72,461,315
77,465,316
55,465,317
62,466,318
55,467,319
53,468,320
84,468,321
74,470,322
67,472,323
70,473,324
67,474,325
57,476,326
60,478,327
60,479,328
59,480,329
59,481,330
61,482,331
52,482,332
52,482,333
69,483,334
96,484,335
54,484,336
60,488,337
74,488,338
66,489,339
82,490,340
67,493,341
103,494,342
80,495,343
53,496,344
70,503,345
69,511,346
72,511,347
57,512,348
105,514,349
55,516,350
65,517,351
64,517,352
74,518,353
71,521,354
71,522,355
69,526,356
52,526,357
65,527,358
66,528,359
86,528,360
84,531,361
53,532,362
55,533,363
99,534,364
72,535,365
55,536,366
59,538,367
61,538,368
69,541,369
91,543,370
68,544,371
52,546,372
76,546,373
95,549,374
74,551,375
74,552,376
115,554,377
90,555,378
70,555,379
90,556,380
70,556,381
52,560,382
74,560,383
71,562,384
55,565,385
56,569,386
88,571,387
72,571,388
56,571,389
63,571,390
68,572,391
65,577,392
99,578,393
64,580,394
92,580,395
61,581,396
61,582,397
61,583,398
57,587,399
75,589,400
57,592,401
60,597,402
65,599,403
86,599,404
59,599,405
77,600,406
94,602,407
90,602,408
84,604,409
57,604,410
52,604,411
72,605,412
62,607,413
73,609,414
57,610,415
60,610,416
72,612,417
85,613,418
91,613,419
69,613,420
105,616,421
57,618,422
73,622,423
64,622,424
59,623,425
75,626,426
91,627,427
62,627,428
55,628,429
61,628,430
112,629,431
89,630,432
99,631,433
84,632,434
110,633,435
55,634,436
54,635,437
70,636,438
55,638,439
53,643,440
74,643,441
64,644,442
55,644,443
54,646,444
61,646,445
52,661,446
59,663,447
107,664,448
67,664,449
57,664,450
70,664,451
97,668,452
68,669,453
75,672,454
52,672,455
62,675,456
56,677,457
52,678,458
56,682,459
82,685,460
73,685,461
66,690,462
53,691,463
54,691,464
112,692,465
103,696,466
87,698,467
87,699,468
65,701,469
55,701,470
68,706,471
74,707,472
54,707,473
61,708,474
56,708,475
60,709,476
61,710,477
55,711,478
72,711,479
63,716,480
54,716,481
54,717,482
94,720,483
72,722,484
65,724,485
62,725,486
62,725,487
74,725,488
52,725,489
52,725,490
71,726,491
89,726,492
58,726,493
92,727,494
52,727,495
61,730,496
61,731,497
64,732,498
68,735,499
80,735,500
52,735,501
54,736,502
52,736,503
54,737,504
54,738,505
54,738,506
78,738,507
62,739,508
60,739,509
93,740,510
59,740,511
92,741,512
72,742,513
61,742,514
61,743,515
53,746,516
73,748,517
58,749,518
55,751,519
62,752,520
70,753,521
67,754,522
57,754,523
89,755,524
54,759,525
81,763,526
61,765,527
52,765,528
79,767,529
76,768,530
67,769,531
100,769,532
70,771,533
68,771,534
52,775,535
63,776,536
53,777,537
75,778,538
63,780,539
72,782,540
56,787,541
79,788,542
81,789,543
67,790,544
52,791,545
78,791,546
109,791,547
56,791,548
53,792,549
89,796,550
101,796,551
70,796,552
74,798,553
78,799,554
63,800,555
72,803,556
84,804,557
86,805,558
63,806,559
80,807,560
68,808,561
89,811,562
78,811,563
68,811,564
58,811,565
93,811,566
58,812,567
93,812,568
68,814,569
79,815,570
70,817,571
83,819,572
72,820,573
67,821,574
69,823,575
81,824,576
53,824,577
79,825,578
61,825,579
61,826,580
90,828,581
66,828,582
66,829,583
52,830,584
69,831,585
68,832,586
68,833,587
78,833,588
81,834,589
135,836,590
53,836,591
55,837,592
60,837,593
56,838,594
63,838,595
57,838,596
60,839,597
109,841,598
109,842,599
72,842,600
66,844,601
71,845,602
85,847,603
101,849,604
52,850,605
71,850,606
65,850,607
59,853,608
54,855,609
94,855,610
58,857,611
86,857,612
60,858,613
87,860,614
72,862,615
63,863,616
101,864,617
90,864,618
59,864,619
83,865,620
70,865,621
61,865,622
71,868,623
150,868,624
73,870,625
72,870,626
62,871,627
79,873,628
79,874,629
98,875,630
55,875,631
76,875,632
69,876,633
84,878,634
63,878,635
103,878,636
67,881,637
65,883,638
92,885,639
135,890,640
52,891,641
65,893,642
156,893,643
68,895,644
55,896,645
77,901,646
53,903,647
73,904,648
107,907,649
69,912,650
81,912,651
67,913,652
65,914,653
115,915,654
69,915,655
80,918,656
52,918,657
59,920,658
67,921,659
59,921,660
84,922,661
61,922,662
73,925,663
83,929,664
83,930,665
66,930,666
52,931,667
71,932,668
65,933,669
59,933,670
64,934,671
90,935,672
52,936,673
52,938,674
76,938,675
81,938,676
63,939,677
53,940,678
85,940,679
62,942,680
62,944,681
62,945,682
56,945,683
81,946,684
67,946,685
60,947,686
89,949,687
133,949,688
82,949,689
60,950,690
53,951,691
62,953,692
69,957,693
52,959,694
82,960,695
64,960,696
55,962,697
70,963,698
53,964,699
86,966,700
90,969,701
94,970,702
74,972,703
54,972,704
55,973,705
72,978,706
64,978,707
71,980,708
85,980,709
73,981,710
52,982,711
88,982,712
93,983,713
70,984,714
67,984,715
71,984,716
70,984,717
82,984,718
63,985,719
103,991,720
75,994,721
68,994,722
72,996,723
101,999,724
62,999,725
52,1001,726
84,1002,727
71,1005,728
69,1005,729
52,1007,730
54,1007,731
74,1007,732
79,1013,733
90,1014,734
54,1014,735
58,1015,736
69,1015,737
82,1016,738
55,1017,739
76,1018,740
57,1018,741
61,1018,742
54,1018,743
55,1020,744
66,1021,745
71,1022,746
64,1024,747
100,1024,748
86,1026,749
86,1027,750
95,1032,751
92,1032,752
112,1038,753
54,1039,754
68,1042,755
78,1043,756
76,1047,757
54,1049,758
79,1050,759
52,1050,760
64,1051,761
131,1051,762
72,1051,763
56,1052,764
84,1054,765
61,1056,766
52,1056,767
55,1057,768
64,1059,769
113,1059,770
70,1059,771
62,1060,772
57,1060,773
107,1061,774
52,1061,775
107,1062,776
52,1062,777
75,1062,778
60,1069,779
60,1070,780
63,1070,781
66,1072,782
54,1072,783
64,1072,784
62,1074,785
68,1074,786
88,1074,787
60,1076,788
60,1077,789
90,1078,790
52,1078,791
85,1078,792
73,1079,793
60,1080,794
84,1080,795
70,1080,796
66,1083,797
56,1084,798
53,1084,799
91,1085,800
84,1085,801
64,1086,802
55,1087,803
67,1089,804
80,1089,805
70,1089,806
69,1090,807
102,1091,808
79,1095,809
52,1096,810
61,1100,811
78,1103,812
68,1103,813
94,1105,814
68,1105,815
59,1106,816
57,1106,817
69,1107,818
65,1108,819
91,1110,820
53,1110,821
52,1110,822
66,1110,823
99,1113,824
70,1113,825
77,1114,826
80,1117,827
64,1122,828
82,1123,829
74,1124,830
106,1125,831
61,1129,832
81,1129,833
59,1129,834
64,1130,835
53,1133,836
92,1134,837
64,1134,838
91,1136,839
88,1136,840
66,1136,841
54,1136,842
65,1137,843
94,1137,844
65,1139,845
71,1139,846
59,1139,847
81,1139,848
53,1139,849
58,1140,850
60,1141,851
73,1144,852
63,1144,853
70,1144,854
91,1147,855
59,1147,856
79,1147,857
55,1148,858
55,1149,859
67,1150,860
85,1150,861
60,1153,862
64,1153,863
66,1157,864
78,1157,865
68,1163,866
81,1170,867
92,1171,868
53,1172,869
62,1173,870
72,1174,871
78,1175,872
64,1176,873
99,1177,874
68,1180,875
61,1180,876
64,1181,877
87,1181,878
52,1182,879
58,1182,880
135,1183,881
92,1185,882
89,1186,883
109,1187,884
65,1187,885
71,1192,886
90,1196,887
75,1196,888
78,1199,889
75,1200,890
76,1200,891
74,1203,892
150,1203,893
52,1203,894
108,1203,895
76,1203,896
52,1205,897
89,1206,898
54,1206,899
55,1210,900
60,1211,901
75,1211,902
86,1212,903
83,1213,904
65,1215,905
64,1215,906
109,1217,907
53,1218,908
53,1219,909
72,1219,910
71,1219,911
75,1223,912
53,1223,913
79,1225,914
55,1225,915
79,1226,916
55,1226,917
52,1226,918
79,1227,919
59,1229,920
83,1229,921
66,1229,922
57,1231,923
57,1232,924
57,1233,925
66,1233,926
61,1233,927
84,1234,928
60,1235,929
78,1240,930
114,1240,931
78,1241,932
114,1241,933
61,1242,934
71,1242,935
76,1247,936
92,1248,937
62,1248,938
92,1249,939
62,1249,940
72,1249,941
86,1249,942
58,1251,943
111,1251,944
57,1251,945
71,1252,946
90,1256,947
62,1256,948
