gene.ids,gene.symb
23095,KIF1B
3151,HMGN2
6429,SRSF4
8073,PTP4A2
5928,RBBP4
192669,AGO3
79647,AKIRIN1
4802,NFYC
400752,LINC01144
4774,NFIA
56957,OTUD7B
84320,ACBD6
59349,KLHL12
5664,PSEN2
84288,EFCAB2
387640,SKIDA1
3688,ITGB1
3185,HNRNPF
23411,SIRT1
9559,VPS26A
3098,HK1
54462,CCSER2
23401,FRAT2
81621,KAZALD1
5866,RAB3IL1
9633,TESMIN
23365,ARHGEF12
283464,GXYLT1
11176,BAZ2A
11052,CPSF6
338758,ATP2B1-AS1
6311,ATXN2
347918,EP400P1
51222,ZNF219
283643,TEDC1
440275,EIF2AK4
9377,COX5A
56905,C15orf39
5428,POLG
54442,KCTD5
226,ALDOA
54921,CHTF8
2653,GCSH
79791,FBXO31
201164,PLD6
23326,USP22
3219,HOXB9
4831,NME2
51096,UTP18
84669,USP32
6603,SMARCD2
374819,LRRC37A3
51155,JPT1
23163,GGA3
5831,PYCR1
682,BSG
10272,FSTL3
6929,TCF3
2872,MKNK2
148254,ZNF555
58492,ZNF77
10036,CHAF1A
811,CALR
5989,RFX1
100422833,MIR3188
3191,HNRNPL
8425,LTBP4
100506012,PPP5D1
255783,INAFM1
6801,STRN
23020,SNRNP200
10096,ACTR3
6666,SOX12
128439,SNHG11
10564,ARFGEF2
6453,ITSN1
1859,DYRK1A
5116,PCNT
8218,CLTCL1
128989,TANGO2
54487,DGCR8
10766,TOB2
8553,BHLHE40
440944,THUMPD3-AS1
9975,NR1D2
201595,STT3B
51143,DYNC1LI1
64651,CSRNP1
22937,SCAP
1951,CELSR3
92370,PXYLP1
6434,TRA2B
7884,SLBP
9778,KIAA0232
57533,TBC1D14
9456,HOMER1
10307,APBB3
79646,PANK3
57472,CNOT6
90933,TRIM41
10048,RANBP9
51439,FAM8A1
8705,B3GALT4
7629,ZNF76
5292,PIM1
5190,PEX6
57579,FAM135A
25842,ASF1A
4217,MAP3K5
5325,PLAGL1
9589,WTAP
11335,CBX3
136853,SSC4D
10165,SLC25A13
1523,CUX1
83943,IMMP2L
168850,ZNF800
78996,CYREN
57541,ZNF398
3757,KCNH2
6522,SLC4A2
27067,STAU2
51582,AZIN1
10221,TRIB1
54108,CHRAC1
1936,EEF1D
65263,PYCR3
5339,PLEC
113655,MFSD3
10541,ANP32B
5887,RAD23B
7295,TXN
9991,PTBP3
57684,ZBTB26
89958,SAPCD2
10383,TUBB4B
