"score","og_df_row","winnerNo"
79,1,1
58,1,2
70,1,3
56,1,4
70,1,5
60,1,6
61,1,7
72,2,8
64,2,9
86,2,10
75,3,11
90,3,12
82,4,13
58,5,14
59,6,15
55,6,16
59,9,17
62,11,18
80,12,19
64,12,20
85,12,21
60,12,22
107,14,23
67,14,24
82,15,25
92,15,26
72,19,27
68,20,28
52,20,29
72,21,30
56,21,31
87,21,32
90,24,33
68,25,34
57,25,35
59,26,36
70,26,37
60,27,38
54,27,39
72,27,40
63,30,41
67,30,42
82,32,43
68,32,44
77,33,45
56,33,46
65,34,47
67,36,48
91,37,49
94,40,50
75,41,51
59,41,52
67,42,53
61,42,54
77,43,55
112,43,56
66,43,57
100,43,58
54,43,59
65,44,60
87,44,61
67,45,62
60,45,63
62,45,64
82,46,65
91,46,66
63,47,67
74,49,68
66,50,69
55,51,70
56,52,71
55,52,72
57,53,73
70,53,74
64,55,75
67,57,76
72,57,77
72,59,78
62,60,79
91,61,80
113,62,81
108,62,82
70,62,83
88,62,84
64,62,85
88,63,86
52,66,87
71,67,88
92,67,89
64,68,90
54,68,91
54,68,92
71,70,93
76,71,94
61,72,95
118,73,96
60,73,97
79,73,98
62,74,99
70,75,100
68,75,101
57,77,102
72,77,103
78,78,104
54,78,105
57,79,106
74,79,107
108,79,108
72,80,109
60,80,110
74,80,111
60,81,112
69,82,113
81,82,114
68,83,115
68,84,116
92,84,117
78,85,118
55,86,119
55,86,120
65,86,121
78,87,122
66,88,123
55,90,124
54,92,125
61,92,126
78,94,127
60,96,128
55,96,129
60,96,130
59,97,131
85,98,132
52,99,133
59,99,134
76,99,135
57,100,136
52,100,137
73,100,138
65,102,139
69,102,140
57,103,141
60,103,142
58,103,143
54,104,144
54,106,145
89,106,146
68,107,147
56,108,148
59,108,149
66,109,150
110,109,151
80,109,152
67,110,153
91,114,154
53,114,155
74,114,156
109,116,157
54,116,158
58,118,159
106,118,160
60,119,161
54,120,162
68,120,163
60,120,164
63,120,165
69,121,166
78,121,167
91,121,168
57,123,169
54,123,170
89,124,171
62,125,172
78,127,173
59,128,174
55,128,175
84,129,176
58,129,177
55,129,178
55,130,179
69,132,180
56,132,181
84,134,182
79,134,183
111,135,184
90,135,185
111,136,186
88,136,187
102,136,188
72,137,189
71,137,190
98,137,191
73,138,192
88,139,193
55,139,194
64,139,195
58,140,196
53,140,197
84,140,198
87,141,199
61,141,200
66,141,201
85,142,202
64,142,203
61,142,204
59,146,205
59,147,206
67,148,207
91,149,208
68,149,209
53,149,210
98,150,211
71,152,212
89,152,213
102,153,214
57,153,215
86,153,216
72,153,217
64,155,218
77,156,219
53,158,220
57,158,221
61,158,222
89,159,223
52,159,224
72,159,225
86,159,226
76,159,227
82,160,228
106,160,229
53,162,230
54,162,231
65,163,232
98,163,233
59,163,234
86,163,235
59,164,236
82,165,237
57,167,238
82,169,239
66,169,240
56,169,241
85,171,242
58,172,243
59,172,244
58,172,245
54,173,246
62,174,247
60,175,248
52,178,249
64,178,250
55,179,251
61,179,252
71,179,253
65,180,254
85,181,255
52,181,256
60,182,257
82,183,258
52,184,259
69,185,260
92,185,261
66,185,262
110,185,263
52,186,264
72,186,265
54,189,266
63,189,267
99,191,268
79,191,269
55,192,270
78,192,271
90,192,272
55,194,273
76,195,274
55,198,275
57,198,276
73,199,277
61,199,278
89,200,279
91,200,280
59,200,281
81,202,282
74,202,283
65,202,284
52,202,285
65,203,286
52,203,287
108,203,288
56,204,289
85,204,290
54,204,291
52,205,292
59,205,293
59,205,294
54,206,295
59,206,296
55,206,297
64,207,298
66,207,299
73,207,300
70,207,301
65,208,302
77,208,303
86,209,304
93,209,305
52,209,306
68,209,307
53,210,308
81,210,309
75,212,310
75,212,311
86,212,312
114,212,313
88,213,314
74,213,315
53,214,316
66,214,317
55,215,318
54,215,319
84,215,320
72,215,321
73,217,322
56,217,323
62,217,324
72,218,325
59,218,326
65,218,327
63,218,328
82,219,329
62,220,330
61,220,331
63,220,332
74,221,333
57,222,334
78,222,335
74,222,336
66,222,337
77,222,338
71,224,339
67,225,340
64,226,341
57,226,342
63,227,343
109,227,344
72,228,345
69,229,346
70,229,347
66,229,348
52,231,349
72,231,350
90,233,351
68,234,352
85,234,353
57,235,354
77,235,355
54,235,356
90,236,357
78,237,358
93,237,359
66,241,360
71,241,361
62,241,362
71,242,363
62,242,364
58,242,365
75,243,366
61,243,367
88,243,368
63,244,369
