peakChr,peakStart,peakEnd,peakLength,peakStrand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS
chr1,859858,860181,324,*,NA,0,Promoter (<=1kb),1,860530,871276,10747,1,148398,uc001abv.1,-349
chr1,859858,860181,324,*,NA,0,Promoter (<=1kb),1,860530,871276,10747,1,148398,uc001abv.1,-349
chr1,860387,860710,324,*,NA,0,Promoter (<=1kb),1,860530,871276,10747,1,148398,uc001abv.1,0
chr1,860387,860710,324,*,NA,0,Promoter (<=1kb),1,860530,871276,10747,1,148398,uc001abv.1,0
chr1,873655,873978,324,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,-677
chr1,873655,873978,324,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,-677
chr1,873655,873978,324,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,-677
chr1,874347,874602,256,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,-53
chr1,875173,875484,312,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,518
chr1,875173,875484,312,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,518
chr1,875173,875484,312,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,518
chr1,875173,875484,312,*,NA,0,Promoter (<=1kb),1,874655,879533,4879,1,148398,uc031pko.1,518
chr1,875911,875973,63,*,NA,0,Promoter (<=1kb),1,876524,879961,3438,1,148398,uc031pkp.1,-551
chr1,895866,896189,324,*,NA,0,Promoter (<=1kb),1,895967,901099,5133,1,339451,uc001aca.2,0
chr1,895866,896189,324,*,NA,0,Promoter (<=1kb),1,895967,901099,5133,1,339451,uc001aca.2,0
chr1,896422,896745,324,*,NA,0,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,-84
chr1,896422,896745,324,*,NA,0,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,-84
chr1,896422,896745,324,*,NA,0,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,-84
chr1,896422,896745,324,*,NA,0,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,-84
chr1,896422,896745,324,*,NA,0,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,-84
chr1,896422,896745,324,*,NA,0,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,-84
chr1,911733,911866,134,*,NA,0,Promoter (<=1kb),1,910579,912021,1443,2,84808,uc001acg.2,155
chr1,911733,911866,134,*,NA,0,Promoter (<=1kb),1,910579,912021,1443,2,84808,uc001acg.2,155
chr1,934487,934810,324,*,NA,0,Promoter (<=1kb),1,934342,935552,1211,2,57801,uc001aci.2,742
chr1,935642,935820,179,*,NA,0,Promoter (<=1kb),1,934342,935552,1211,2,57801,uc010nyc.1,-90
chr1,935642,935820,179,*,NA,0,Promoter (<=1kb),1,934342,935552,1211,2,57801,uc010nyc.1,-90
chr1,936093,936171,79,*,NA,0,Promoter (<=1kb),1,934342,935552,1211,2,57801,uc010nyc.1,-541
chr1,955502,955825,324,*,NA,0,Promoter (<=1kb),1,955503,991499,35997,1,375790,uc001ack.2,0
chr1,955502,955825,324,*,NA,0,Promoter (<=1kb),1,955503,991499,35997,1,375790,uc001ack.2,0
chr1,1051930,1052239,310,*,NA,0,Promoter (<=1kb),1,1017198,1051736,34539,2,54991,uc001acu.2,-194
chr1,1167038,1167322,285,*,NA,0,Promoter (<=1kb),1,1152288,1167447,15160,2,51150,uc001adh.4,125
chr1,1167038,1167322,285,*,NA,0,Promoter (<=1kb),1,1152288,1167447,15160,2,51150,uc001adh.4,125
chr1,1208866,1209188,323,*,NA,0,Promoter (<=1kb),1,1189292,1209234,19943,2,118424,uc001ado.3,46
chr1,1208866,1209188,323,*,NA,0,Promoter (<=1kb),1,1189292,1209234,19943,2,118424,uc001ado.3,46
chr1,1242896,1243219,324,*,NA,0,Promoter (<=1kb),1,1227764,1243269,15506,2,116983,uc001aeb.2,50
chr1,1242896,1243219,324,*,NA,0,Promoter (<=1kb),1,1227764,1243269,15506,2,116983,uc001aeb.2,50
chr1,1242896,1243219,324,*,NA,0,Promoter (<=1kb),1,1227764,1243269,15506,2,116983,uc001aeb.2,50
chr1,1244051,1244337,287,*,NA,0,Promoter (<=1kb),1,1243994,1247057,3064,1,126789,uc010nyi.2,57
chr1,1244051,1244337,287,*,NA,0,Promoter (<=1kb),1,1243994,1247057,3064,1,126789,uc010nyi.2,57
chr1,1244051,1244337,287,*,NA,0,Promoter (<=1kb),1,1243994,1247057,3064,1,126789,uc010nyi.2,57
chr1,1244573,1244896,324,*,NA,0,Promoter (<=1kb),1,1234124,1244989,10866,2,116983,uc001aec.1,93
chr1,1283981,1284304,324,*,NA,0,Promoter (<=1kb),1,1270658,1284492,13835,2,1855,uc001aer.4,188
chr1,1283981,1284304,324,*,NA,0,Promoter (<=1kb),1,1270658,1284492,13835,2,1855,uc001aer.4,188
chr1,1283981,1284304,324,*,NA,0,Promoter (<=1kb),1,1270658,1284492,13835,2,1855,uc001aer.4,188
chr1,1285017,1285292,276,*,NA,0,Promoter (<=1kb),1,1270658,1284492,13835,2,1855,uc001aer.4,-525
chr1,1285017,1285292,276,*,NA,0,Promoter (<=1kb),1,1270658,1284492,13835,2,1855,uc001aer.4,-525
chr1,1285017,1285292,276,*,NA,0,Promoter (<=1kb),1,1270658,1284492,13835,2,1855,uc001aer.4,-525
chr1,1310466,1310534,69,*,NA,0,Promoter (<=1kb),1,1309110,1310562,1453,2,54998,uc009vkb.1,28
chr1,1342792,1343079,288,*,NA,0,Promoter (<=1kb),1,1340413,1342693,2281,2,55052,uc010nyn.1,-99
chr1,1342792,1343079,288,*,NA,0,Promoter (<=1kb),1,1340413,1342693,2281,2,55052,uc010nyn.1,-99
chr1,1342792,1343079,288,*,NA,0,Promoter (<=1kb),1,1340413,1342693,2281,2,55052,uc010nyn.1,-99
chr1,1371306,1371391,86,*,NA,0,Promoter (<=1kb),1,1370903,1378262,7360,1,64856,uc001afs.3,403
chr1,1509548,1509614,67,*,NA,0,Promoter (<=1kb),1,1477053,1510262,33210,2,29101,uc001agd.3,648
chr1,1510074,1510235,162,*,NA,0,Promoter (<=1kb),1,1477053,1510262,33210,2,29101,uc001agd.3,27
chr1,1709440,1709728,289,*,NA,0,Promoter (<=1kb),1,1682671,1709909,27239,2,65220,uc001aic.3,181
chr1,1709440,1709728,289,*,NA,0,Promoter (<=1kb),1,1682671,1709909,27239,2,65220,uc001aic.3,181
chr1,1709977,1710253,277,*,NA,0,Promoter (<=1kb),1,1682671,1710297,27627,2,65220,uc001aid.4,44
chr1,1709977,1710253,277,*,NA,0,Promoter (<=1kb),1,1682671,1710297,27627,2,65220,uc001aid.4,44
chr1,1709977,1710253,277,*,NA,0,Promoter (<=1kb),1,1682671,1710297,27627,2,65220,uc001aid.4,44
chr1,1709977,1710253,277,*,NA,0,Promoter (<=1kb),1,1682671,1710297,27627,2,65220,uc001aid.4,44
chr1,1821483,1821806,324,*,NA,0,Promoter (<=1kb),1,1716725,1822526,105802,2,2782,uc001aif.3,720
chr1,1821483,1821806,324,*,NA,0,Promoter (<=1kb),1,1716725,1822526,105802,2,2782,uc001aif.3,720
chr1,1822354,1822476,123,*,NA,0,Promoter (<=1kb),1,1716725,1822526,105802,2,2782,uc001aif.3,50
chr1,1822969,1823292,324,*,NA,0,Promoter (<=1kb),1,1716725,1822526,105802,2,2782,uc009vky.3,-443
chr1,1951092,1951377,286,*,NA,0,Promoter (<=1kb),1,1950768,1962192,11425,1,2563,uc001aip.2,324
chr1,1980862,1981091,230,*,NA,0,Promoter (<=1kb),1,1981909,2116834,134926,1,5590,uc001aiq.3,-818
chr1,2126316,2126639,324,*,NA,0,Promoter (<=1kb),1,2123334,2126214,2881,2,199990,uc031pkv.1,-102
chr1,2126316,2126639,324,*,NA,0,Promoter (<=1kb),1,2123334,2126214,2881,2,199990,uc031pkv.1,-102
chr1,2126316,2126639,324,*,NA,0,Promoter (<=1kb),1,2123334,2126214,2881,2,199990,uc031pkv.1,-102
chr1,2126316,2126639,324,*,NA,0,Promoter (<=1kb),1,2123334,2126214,2881,2,199990,uc031pkv.1,-102
chr1,2126316,2126639,324,*,NA,0,Promoter (<=1kb),1,2123334,2126214,2881,2,199990,uc031pkv.1,-102
chr1,2322679,2322939,261,*,NA,0,Promoter (<=1kb),1,2252696,2322993,70298,2,79906,uc001ajb.1,54
chr1,2322679,2322939,261,*,NA,0,Promoter (<=1kb),1,2252696,2322993,70298,2,79906,uc001ajb.1,54
chr1,2323342,2323665,324,*,NA,0,Promoter (<=1kb),1,2323214,2336885,13672,1,11079,uc001ajf.2,128
chr1,2323342,2323665,324,*,NA,0,Promoter (<=1kb),1,2323214,2336885,13672,1,11079,uc001ajf.2,128
chr1,2323342,2323665,324,*,NA,0,Promoter (<=1kb),1,2323214,2336885,13672,1,11079,uc001ajf.2,128
chr1,2323342,2323665,324,*,NA,0,Promoter (<=1kb),1,2323214,2336885,13672,1,11079,uc001ajf.2,128
chr1,2343691,2343965,275,*,NA,0,Promoter (<=1kb),1,2336241,2344010,7770,2,5192,uc001ajg.3,45
chr1,2986395,2986556,162,*,NA,0,Promoter (<=1kb),1,2985742,3355185,369444,1,63976,uc009vlh.3,653
chr1,2986395,2986556,162,*,NA,0,Promoter (<=1kb),1,2985742,3355185,369444,1,63976,uc009vlh.3,653
chr1,3370837,3371134,298,*,NA,0,Promoter (<=1kb),1,3371147,3397677,26531,1,27237,uc001akg.4,-13
chr1,3527672,3527847,176,*,NA,0,Promoter (<=1kb),1,3404506,3528059,123554,2,1953,uc001akl.3,212
